rank,gender,age,follows,region,listen_count
7,Female,22,211,福建省 - 龙岩市,1337
6,Female,25,64,浙江省 - 金华市,871
8,Female,20,235,河北省 - 秦皇岛市,3386
7,Male,20,16,重庆市 ,1664
7,Male,,12,山西省 - 太原市,1475
7,Male,22,56,浙江省 - 温州市,1478
7,Male,25,20,北京市 ,2010
7,Male,20,79,浙江省 - 杭州市,2580
6,Female,21,78,黑龙江省 - 哈尔滨市,823
8,Female,,14,四川省 - 成都市,3464
8,Male,,95,湖北省 - 武汉市,5348
8,Female,,311,,4583
7,Male,,45,,1952
5,Male,,10,湖南省 - 长沙市,205
1,Male,,4,河南省 - 郑州市,22
6,Male,19,35,江苏省 - 苏州市,586
8,Male,21,250,西藏 - 日喀则地区,5094
5,Female,,18,北京市 ,373
6,Male,1,3272,湖北省 - 武汉市,964
7,Female,21,67,安徽省 - 合肥市,1695
7,Male,26,95,湖北省 - 武汉市,1892
7,Male,,33,重庆市 ,1248
6,Male,,13,安徽省 - 亳州市,917
7,Male,,60,山东省 - 济南市,1032
7,Male,25,4,四川省 - 达州市,1655
7,Female,23,58,山东省 - 临沂市,1265
8,Male,26,55,黑龙江省 - 哈尔滨市,5624
9,Male,23,27,浙江省 - 台州市,10788
8,Male,28,944,重庆市 ,7128
7,Female,21,112,辽宁省 - 沈阳市,2029
7,Male,,27,新疆 - 乌鲁木齐市,1652
7,Male,23,81,广东省 - 惠州市,2678
7,Male,,13,江西省 - 上饶市,2296
8,Male,22,24,江西省 - 南昌市,4031
7,Female,,10,,1130
6,Female,,28,湖北省 - 武汉市,478
8,Male,26,354,广西 - 河池市,3213
8,Female,24,10,江苏省 - 无锡市,4244
7,Male,22,30,安徽省 - 合肥市,1642
8,Female,25,18,四川省 - 自贡市,5798
8,Male,18,126,福建省 - 泉州市,3877
7,Female,19,13,云南省 - 大理白族自治州,1955
9,Female,,122,,8484
7,Male,,97,宁夏 - 银川市,1885
3,Female,,4,河北省 - 衡水市,119
6,Male,,21,河南省 - 商丘市,713
7,Female,,6,,2393
6,Female,,11,浙江省 - 杭州市,873
7,Male,,13,湖南省 - 长沙市,1255
8,Male,,142,湖北省 - 武汉市,3455
7,Male,,6,福建省 - 福州市,4754
7,Female,23,20,四川省 - 成都市,1876
4,Female,,6,浙江省 - 嘉兴市,532
6,Male,25,15,青海省 - 黄南藏族自治州,441
8,Male,26,107,北京市 ,4305
9,Female,,321,,11061
7,Female,30,24,甘肃省 - 兰州市,1155
7,Female,,35,,1682
7,Male,,45,山东省 - 青岛市,1192
8,Female,,29,新疆 - 乌鲁木齐市,5208
6,Female,,13,四川省 - 内江市,2991
7,Female,,11,辽宁省 - 沈阳市,1839
6,Female,16,9,黑龙江省 - 牡丹江市,604
5,Male,,19,山东省 - 烟台市,284
6,Female,20,68,河南省 - 洛阳市,964
7,Female,19,79,江苏省 - 泰州市,1835
8,Female,,4,海外 - 美国,4278
8,Male,29,53,安徽省 - 淮南市,3301
7,Male,,17,河北省 - 沧州市,1855
7,Female,,16,,1934
7,Male,28,205,重庆市 ,2010
8,Male,19,307,河南省 - 郑州市,4838
7,Female,27,70,陕西省 - 西安市,1600
6,Female,24,87,河南省 - 安阳市,968
7,Male,,36,北京市 ,2885
7,Female,,38,北京市 ,1902
8,Female,,8,云南省 - 昆明市,3233
7,Male,23,550,河北省 - 廊坊市,2324
7,Female,24,82,湖北省 - 武汉市,2302
5,Male,28,10,河南省 - 郑州市,299
6,Female,,26,黑龙江省 - 哈尔滨市,533
8,Female,,28,,4050
8,Male,,348,,5283
7,Female,,7,重庆市 ,2998
8,Male,23,36,四川省 - 成都市,6979
7,Female,25,29,辽宁省 - 大连市,2368
7,Male,23,48,江苏省 - 南京市,2309
7,Male,32,49,河北省 - 邯郸市,2362
8,Male,24,45,湖南省 - 株洲市,3121
5,Female,,12,四川省 - 巴中市,369
7,Male,17,71,海外 - 日本,1395
7,Female,21,28,天津市 ,2860
6,Male,21,6,海外 - 俄罗斯,507
6,Female,,19,,558
7,Female,21,8,湖南省 - 长沙市,1485
8,Male,24,9,山东省 - 威海市,3894
8,Male,24,199,山东省 - 菏泽市,3824
5,Female,,8,山东省 - 济宁市,389
6,Female,,42,,833
6,Male,28,4,江苏省 - 宿迁市,565
8,Female,2,67,海外 - 西班牙,4269
7,Female,,20,湖北省 - 武汉市,2874
6,Male,19,15,宁夏 - 银川市,996
8,Female,22,35,河南省 - 郑州市,4402
7,Male,32,35,北京市 ,1107
9,Male,23,220,北京市 ,8194
7,Male,,6,北京市 ,1481
8,Male,24,77,安徽省 - 阜阳市,5880
7,Female,,68,,2386
8,Male,,17,安徽省 - 合肥市,3675
8,Female,27,209,黑龙江省 - 哈尔滨市,6984
8,Male,20,117,江苏省 - 盐城市,5224
7,Female,,7,,2261
7,Male,23,72,北京市 ,2074
7,Male,,167,,1313
8,Male,28,83,甘肃省 - 平凉市,5320
7,Female,,13,广东省 - 广州市,2398
6,Female,,0,海外 - 其它,492
7,Male,,232,辽宁省 - 辽阳市,1829
6,Male,,9,新疆 - 乌鲁木齐市,587
7,Female,22,24,重庆市 ,1304
7,Male,19,63,山东省 - 济宁市,1210
4,Male,27,10,辽宁省 - 大连市,1073
6,Female,,148,新疆 - 伊犁哈萨克自治州,906
6,Male,,27,山东省 - 济南市,699
7,Female,,19,山东省 - 济南市,1199
7,Male,,28,河南省 - 平顶山市,1760
7,Female,23,44,四川省 - 成都市,2698
4,Female,,16,陕西省 - 西安市,140
7,Female,,38,江西省 - 南昌市,1490
8,Male,16,85,四川省 - 成都市,4671
7,Male,,42,,1976
8,Male,,144,,3457
8,Male,,5,浙江省 - 杭州市,3672
9,Male,28,124,广东省 - 惠州市,8805
8,Male,,98,辽宁省 - 沈阳市,6206
5,Female,,7,福建省 - 漳州市,316
6,Female,17,64,河南省 - 驻马店市,565
6,Female,22,9,河北省 - 石家庄市,688
7,Male,,8,浙江省 - 宁波市,1055
6,Male,,5,河北省 - 石家庄市,511
8,Male,,30,,3317
7,Male,21,96,上海市 ,1035
7,Male,26,14,北京市 ,2782
9,Female,,5617,,20661
6,Female,,9,江西省 - 宜春市,473
8,Female,,64,,4286
7,Female,,13,河南省 - 南阳市,1435
6,Female,,24,安徽省 - 合肥市,931
8,Female,,156,,3228
6,Female,,41,江西省 - 南昌市,715
