用户ID,评论时间,点赞总数,评论内容
"384103590,2017-03-04 20:15:38,6,怕是新专辑里最好听的了+"
"106620203,2017-03-04 19:47:23,2,和我想的一样+"
"106620203,2017-03-04 19:47:01,0,你说的太好了+"
"421662829,2017-03-04 19:19:22,3,为1万打卡，么么哒+"
"264592075,2017-03-04 19:15:47,6,哈哈买的第一张数字专辑，这张专辑真的超赞开心开心+"
"108269755,2017-03-04 18:51:09,3,脚下鼓楼的楼梯 头顶鼓楼的屋顶 耳边雷子的歌声 满足到无可救药。+"
"108269755,2017-03-04 18:49:22,0,好巧 我也今天去啦+"
"297638566,2017-03-04 17:38:37,3,从简入繁易，从繁出简难啊……+"
"370633660,2017-03-04 17:15:21,3,今天去了鼓楼还不错+"
"34576884,2017-03-04 16:07:05,2,赵雷的上一张专辑，我买的碟，想想也是…+"
"112370043,2017-03-04 15:15:59,2,一支烟，一瓶酒，一个心上人，就已经是一个感人的故事了。+"
"12037658,2017-03-04 14:53:02,4,站在鼓楼上面一切繁华与我无关，一个人走着逛着+"
"427707411,2017-10-15 17:18:37,7,2017年8月19日，从青海湖义工旅行一个月回来，在地铁2号线，一个旁边一个戴眼镜长发女生晕倒了，到站之后赶紧把她扶了出来，以为她低血糖，给她吃了一颗糖，买了一瓶饮料，看她在长椅上躺着，等了好久，由于还有事就交给地铁工作人员了，不知道她怎么样了，希望她健康+"
"98051823,2017-10-15 17:14:29,0,最近工作，学习，准备考试，房子装修……各种事情……很疲惫。睡个懒觉也成了一种奢侈……只有雷子的声音，让内心觉得温暖踏实～+"
"402655489,2017-10-15 16:10:26,0,新婚快乐+"
"505821410,2017-10-15 16:06:23,0,问题是老哥你不是他啊+"
"281517994,2017-10-15 16:00:15,0,这剧情，拍电视啊[大哭]+"
"48475125,2017-10-15 15:25:09,0,开往白石桥东+"
"31582289,2017-10-15 14:50:50,3,赵雷是什么样的boy反正就想嫁给这样的男孩子+"
"318249568,2017-10-15 14:05:18,3,没次听到这首歌都很激动 可能是因为他去酒吧唱了这首歌 并把视频发给我了的原因吧+"
"107361326,2017-10-15 13:53:39,0,今天+"
"436189381,2017-10-15 13:03:58,1,雷子的每一首诗都是故事+"
"358139403,2017-10-15 12:36:13,1,再过三个多月也要坐着北京到成都的火车回到大四川+"
"303659864,2017-10-15 12:18:41,1,因为爱你胜过所有，所以只要你说的任何质疑我对你的爱的言语我都会反应很强烈很激动。这或许是我在你面前唯一一点仅存的白羊脾气吧。今年12月我们将去北京。去趟鼓楼什刹海吧+"
"284119723,2017-10-15 12:03:51,0,我这下雨了，地点北方的老工业城市+"
"266685928,2017-10-15 11:38:06,0,还真不是  是恰好知道+"
"480956402,2017-10-15 11:05:05,1,未曾去过鼓楼，但我知道，那一切繁华定与我无关，我只想做个沉默不语的过客，靠着墙壁晒太阳且想念着妳！+"
"377683882,2017-10-15 10:02:54,2,我是个沉默不语的靠着车窗想念你的乘客[星星]+"
"442878084,2017-10-15 09:55:10,2,喜欢的人跟我说他最喜欢赵雷，赵雷的歌里他最喜欢南方姑娘和鼓楼，我说我也喜欢南方姑娘，却对鼓楼没有什么印象，所以我来了+"
"579950952,2017-10-15 09:51:34,0,南锣鼓巷+"
"365163497,2017-10-15 09:36:13,1,喜欢+"
"96252991,2017-10-15 09:23:01,0,生日快乐+"
"427707411,2017-10-15 17:18:37,7,2017年8月19日，从青海湖义工旅行一个月回来，在地铁2号线，一个旁边一个戴眼镜长发女生晕倒了，到站之后赶紧把她扶了出来，以为她低血糖，给她吃了一颗糖，买了一瓶饮料，看她在长椅上躺着，等了好久，由于还有事就交给地铁工作人员了，不知道她怎么样了，希望她健康+"
"98051823,2017-10-15 17:14:29,0,最近工作，学习，准备考试，房子装修……各种事情……很疲惫。睡个懒觉也成了一种奢侈……只有雷子的声音，让内心觉得温暖踏实～+"
"402655489,2017-10-15 16:10:26,0,新婚快乐+"
"505821410,2017-10-15 16:06:23,0,问题是老哥你不是他啊+"
"281517994,2017-10-15 16:00:15,0,这剧情，拍电视啊[大哭]+"
"48475125,2017-10-15 15:25:09,0,开往白石桥东+"
"31582289,2017-10-15 14:50:50,3,赵雷是什么样的boy反正就想嫁给这样的男孩子+"
"318249568,2017-10-15 14:05:18,3,没次听到这首歌都很激动 可能是因为他去酒吧唱了这首歌 并把视频发给我了的原因吧+"
"107361326,2017-10-15 13:53:39,0,今天+"
"436189381,2017-10-15 13:03:58,1,雷子的每一首诗都是故事+"
"358139403,2017-10-15 12:36:13,1,再过三个多月也要坐着北京到成都的火车回到大四川+"
"303659864,2017-10-15 12:18:41,1,因为爱你胜过所有，所以只要你说的任何质疑我对你的爱的言语我都会反应很强烈很激动。这或许是我在你面前唯一一点仅存的白羊脾气吧。今年12月我们将去北京。去趟鼓楼什刹海吧+"
"284119723,2017-10-15 12:03:51,0,我这下雨了，地点北方的老工业城市+"
"266685928,2017-10-15 11:38:06,0,还真不是  是恰好知道+"
"480956402,2017-10-15 11:05:05,1,未曾去过鼓楼，但我知道，那一切繁华定与我无关，我只想做个沉默不语的过客，靠着墙壁晒太阳且想念着妳！+"
"377683882,2017-10-15 10:02:54,2,我是个沉默不语的靠着车窗想念你的乘客[星星]+"
"442878084,2017-10-15 09:55:10,2,喜欢的人跟我说他最喜欢赵雷，赵雷的歌里他最喜欢南方姑娘和鼓楼，我说我也喜欢南方姑娘，却对鼓楼没有什么印象，所以我来了+"
"579950952,2017-10-15 09:51:34,0,南锣鼓巷+"
"365163497,2017-10-15 09:36:13,1,喜欢+"
"96252991,2017-10-15 09:23:01,0,生日快乐+"
"262717690,2017-11-19 00:47:32,0,我的歌[大笑][大笑]+"
"250350259,2017-11-19 00:38:49,0,第一遍就爱上了这首歌！+"
"328313819,2017-11-19 00:35:56,6,我想要在网易认识一个和我一样喜欢鼓楼的男生+"
"3890696,2017-11-19 00:29:38,0,我喜欢你的自由~今天圈叔这歌唱的让我圈粉了+"
"442954596,2017-11-19 00:25:15,0,怎么办 没去看演唱会 然后看看视频 听鼓楼听哭了 [流泪][流泪][流泪][流泪] 后悔的像个傻逼一样 冻死也该去的啊[流泪][流泪][流泪]+"
"116511491,2017-11-19 00:01:26,0,因为阿冷在听这首歌+"
"397066212,2017-11-18 23:50:32,3,西安也有个鼓楼呢+"
"284943242,2017-11-18 23:37:52,0,就在昨晚，我在梦里把雷子睡了[大哭]+"
"264318600,2017-11-18 23:34:39,3,今晚只是看个直播。都哭了。不是矫情。只是为雷子高兴。终于实现了自己工体演唱会的梦。他在唱赵小雷的时候。围着舞台跑，高兴的像个孩子一样。唱成都的时候。一脸的无助，好心疼雷子。不想演唱会再唱成都，谢谢。+"
